date,topic,source,headline,sentiment_score,relevance_score,is_real
2025-02-23,Community Impact,Public Comment - PUC,Tri-State Awards $2M in Community Development Grants,0.693,0.49,False
2025-02-25,Renewable Energy,Colorado Sun,Distributed Solar Growth Creates Grid Management Challenges,0.569,0.76,False
2025-02-26,Renewable Energy,E&E News,Battery Storage Integration Advances at Tri-State Facilities,0.101,0.73,False
2025-03-02,Energy Transition,Reuters Energy,Western Cooperatives Face Challenges in Energy Transition Timeline,0.087,0.96,False
2025-03-02,Coal Retirement,Colorado Sun,Tri-State Plans Managed Coal Plant Transition Through 2030,-0.355,0.77,False
2025-03-03,Renewable Energy,Reuters Energy,Distributed Solar Growth Creates Grid Management Challenges,0.627,0.52,False
2025-03-04,Rate Changes,Public Comment - FERC,FERC Reviews Tri-State Rate Filing Amid Member Concerns,-0.183,0.87,False
2025-03-07,Energy Transition,Casper Star-Tribune,Western Cooperatives Face Challenges in Energy Transition Timeline,-0.033,0.9,False
2025-03-10,Coal Retirement,Utility Dive,Coal Retirement Costs Create Long-term Financial Obligations,-0.045,0.88,False
2025-03-12,Energy Transition,Utility Dive,Tri-State Signs 500MW Wind Power Purchase Agreement,-0.013,0.51,False
2025-03-15,Rate Changes,E&E News,Rate Restructuring Could Benefit Smaller Member Systems,-0.557,0.56,False
2025-03-16,Coal Retirement,Public Comment - FERC,Tri-State Plans Managed Coal Plant Transition Through 2030,0.183,0.51,False
2025-03-18,Renewable Energy,Public Comment - FERC,Distributed Solar Growth Creates Grid Management Challenges,-0.194,0.6,False
2025-03-19,Rate Changes,Casper Star-Tribune,Cooperative Members Question Rising Wholesale Power Costs,-0.358,0.63,False
2025-03-20,Energy Transition,Colorado Sun,Energy Transition Costs Raise Concerns Among Rural Cooperatives,0.117,0.54,False
2025-03-20,Regulatory Compliance,Public Comment - PUC,Tri-State Enhances Cybersecurity Program for Grid Protection,0.528,0.67,False
2025-03-22,Coal Retirement,Colorado Sun,Coal Retirement Costs Create Long-term Financial Obligations,-0.378,0.74,False
2025-03-24,Grid Reliability,Public Comment - FERC,New SCADA Systems Improve Real-time Grid Monitoring,0.176,0.98,False
2025-03-24,Rate Changes,Public Comment - FERC,Rate Restructuring Could Benefit Smaller Member Systems,-0.283,0.42,False
2025-03-26,Grid Reliability,Public Comment - FERC,Tri-State Deploys Advanced Fault Detection Technology,0.409,0.56,False
2025-03-27,Energy Transition,Utility Dive,Tri-State Accelerates Clean Energy Goals Ahead of 2030 Target,0.26,0.62,False
2025-03-30,Renewable Energy,Denver Post,Battery Storage Integration Advances at Tri-State Facilities,0.743,0.64,False
2025-04-01,Renewable Energy,Casper Star-Tribune,Tri-State Commissions 200MW Solar Farm in New Mexico,0.196,0.55,False
2025-04-04,Grid Reliability,Colorado Sun,Wildfire Risk Drives Enhanced Vegetation Management Program,0.054,0.45,False
2025-04-04,Energy Transition,Albuquerque Journal,Energy Transition Costs Raise Concerns Among Rural Cooperatives,0.162,0.95,False
2025-04-07,Member Relations,Denver Post,Member Cooperatives Push for More Local Generation Rights,0.132,0.79,False
2025-04-07,Community Impact,Casper Star-Tribune,Tri-State Awards $2M in Community Development Grants,0.297,0.82,False
2025-04-11,Member Relations,Denver Post,United Power Seeks Greater Flexibility in Tri-State Contract,-0.255,0.52,False
2025-04-13,Renewable Energy,Denver Post,Tri-State Wind Capacity Surpasses 1GW Milestone,0.919,0.92,False
2025-04-13,Rate Changes,Reuters Energy,FERC Reviews Tri-State Rate Filing Amid Member Concerns,-0.168,0.65,False
2025-04-15,Rate Changes,Public Comment - FERC,Wholesale Rate Stability Critical for Rural Communities,-0.582,0.74,False
2025-04-19,Rate Changes,Denver Post,Tri-State Proposes 4.2% Wholesale Rate Increase for 2026,-0.009,0.62,False
2025-04-20,Grid Reliability,Public Comment - PUC,Tri-State Invests $150M in Transmission Upgrades,0.178,0.81,False
2025-04-20,Grid Reliability,E&E News,Wildfire Risk Drives Enhanced Vegetation Management Program,-0.11,0.59,False
2025-04-21,Rate Changes,Public Comment - FERC,Cooperative Members Question Rising Wholesale Power Costs,-0.781,0.44,False
2025-04-21,Energy Transition,Public Comment - PUC,Tri-State Announces New Solar Project in Eastern Colorado,-0.27,0.84,False
2025-04-21,Member Relations,Utility Dive,Tri-State Introduces New Contract Flexibility Framework,-0.048,0.74,False
2025-04-27,Rate Changes,Public Comment - PUC,Rate Restructuring Could Benefit Smaller Member Systems,-0.402,0.42,False
2025-04-27,Energy Transition,Colorado Sun,Western Cooperatives Face Challenges in Energy Transition Timeline,-0.306,0.52,False
2025-04-29,Community Impact,E&E News,Tri-State Awards $2M in Community Development Grants,0.331,0.7,False
2025-05-03,Renewable Energy,Colorado Sun,New Pumped Hydro Study Shows Promise for Tri-State Territory,0.51,0.66,False
2025-05-04,Energy Transition,Utility Dive,Clean Energy Shift Creates Job Transition Questions for Tri-State Workers,0.244,0.54,False
2025-05-04,Regulatory Compliance,Denver Post,Tri-State Passes NERC CIP Compliance Audit,0.155,0.73,False
2025-05-05,Member Relations,E&E News,Kit Carson Electric Reports Savings After Partial Exit,-0.499,0.61,False
2025-05-05,Rate Changes,E&E News,Wholesale Rate Stability Critical for Rural Communities,-0.449,0.71,False
2025-05-11,Member Relations,Reuters Energy,La Plata Electric Explores Partial Requirements Options,-0.39,1.0,False
2025-05-12,Rate Changes,Colorado Sun,Wholesale Rate Stability Critical for Rural Communities,-0.267,0.71,False
2025-05-14,Member Relations,Reuters Energy,United Power Seeks Greater Flexibility in Tri-State Contract,-0.636,0.82,False
2025-05-18,Coal Retirement,Reuters Energy,Community Impact Plans Announced for Craig Station Workers,-0.146,0.79,False
2025-05-19,Renewable Energy,Social Media,Battery Storage Integration Advances at Tri-State Facilities,0.478,0.75,False
2025-05-21,Rate Changes,Public Comment - PUC,Wholesale Rate Stability Critical for Rural Communities,-0.038,0.95,False
2025-05-21,Renewable Energy,Colorado Sun,Tri-State Commissions 200MW Solar Farm in New Mexico,0.262,0.45,False
2025-05-23,Community Impact,Colorado Sun,Tri-State Awards $2M in Community Development Grants,0.403,0.84,False
2025-05-28,Regulatory Compliance,E&E News,Tri-State Enhances Cybersecurity Program for Grid Protection,-0.263,0.6,False
2025-05-29,Community Impact,Public Comment - FERC,Cooperative Model Delivers Value to Rural Western Communities,0.512,0.64,False
2025-05-30,Renewable Energy,Reuters Energy,Battery Storage Integration Advances at Tri-State Facilities,0.539,0.42,False
2025-05-31,Energy Transition,E&E News,Tri-State Signs 500MW Wind Power Purchase Agreement,0.67,0.76,False
2025-06-02,Energy Transition,Colorado Sun,Western Cooperatives Face Challenges in Energy Transition Timeline,-0.133,0.98,False
2025-06-03,Grid Reliability,Colorado Sun,New SCADA Systems Improve Real-time Grid Monitoring,0.378,0.98,False
2025-06-03,Energy Transition,Denver Post,Energy Transition Costs Raise Concerns Among Rural Cooperatives,0.51,0.73,False
2025-06-04,Member Relations,Public Comment - PUC,Tri-State Board Approves Revised Member Exit Provisions,-0.427,0.55,False
2025-06-04,Coal Retirement,Public Comment - FERC,Tri-State Plans Managed Coal Plant Transition Through 2030,-0.04,0.62,False
2025-06-08,Coal Retirement,Casper Star-Tribune,Craig Station Unit 3 Retirement Timeline Under Discussion,0.108,0.7,False
2025-06-08,Energy Transition,Reuters Energy,Tri-State Accelerates Clean Energy Goals Ahead of 2030 Target,-0.146,0.44,False
2025-06-09,Energy Transition,Utility Dive,Energy Transition Costs Raise Concerns Among Rural Cooperatives,0.143,0.69,False
2025-06-09,Energy Transition,E&E News,Western Cooperatives Face Challenges in Energy Transition Timeline,0.23,0.5,False
2025-06-10,Grid Reliability,Albuquerque Journal,Wildfire Risk Drives Enhanced Vegetation Management Program,0.026,0.8,False
2025-06-14,Energy Transition,Casper Star-Tribune,Energy Transition Costs Raise Concerns Among Rural Cooperatives,0.145,0.43,False
2025-06-16,Member Relations,Casper Star-Tribune,United Power Seeks Greater Flexibility in Tri-State Contract,-0.51,0.86,False
2025-06-20,Member Relations,Albuquerque Journal,La Plata Electric Explores Partial Requirements Options,-0.247,0.57,False
2025-06-21,Energy Transition,Colorado Sun,Energy Transition Costs Raise Concerns Among Rural Cooperatives,0.036,0.97,False
2025-06-22,Community Impact,Public Comment - PUC,Tri-State Awards $2M in Community Development Grants,0.88,0.45,False
2025-06-24,Regulatory Compliance,Public Comment - PUC,FERC Order Impacts Cooperative Wholesale Market Participation,-0.17,0.92,False
2025-06-25,Renewable Energy,Casper Star-Tribune,Tri-State Commissions 200MW Solar Farm in New Mexico,-0.193,0.97,False
2025-06-25,Member Relations,Casper Star-Tribune,Kit Carson Electric Reports Savings After Partial Exit,0.103,0.71,False
2025-07-01,Energy Transition,Public Comment - FERC,Tri-State Announces New Solar Project in Eastern Colorado,-0.089,0.87,False
2025-07-01,Community Impact,Public Comment - PUC,Rural Broadband Initiative Leverages Cooperative Infrastructure,0.422,0.85,False
2025-07-02,Energy Transition,Public Comment - FERC,Energy Transition Costs Raise Concerns Among Rural Cooperatives,0.061,0.89,False
2025-07-07,Energy Transition,Denver Post,Tri-State Announces New Solar Project in Eastern Colorado,-0.041,0.84,False
2025-07-07,Rate Changes,Reuters Energy,Tri-State Proposes 4.2% Wholesale Rate Increase for 2026,-0.108,0.56,False
2025-07-07,Grid Reliability,Casper Star-Tribune,Winter Storm Tests Western Grid Reliability,0.375,0.43,False
2025-07-09,Rate Changes,Utility Dive,Tri-State Rates Remain Competitive vs Regional Utilities,0.269,0.72,False
2025-07-09,Energy Transition,Albuquerque Journal,Western Cooperatives Face Challenges in Energy Transition Timeline,0.175,0.65,False
2025-07-09,Community Impact,E&E News,Member Communities Benefit from Cooperative Dividend Distribution,0.564,1.0,False
2025-07-11,Rate Changes,Albuquerque Journal,Rate Restructuring Could Benefit Smaller Member Systems,-0.793,0.99,False
2025-07-11,Energy Transition,Public Comment - FERC,Tri-State Announces New Solar Project in Eastern Colorado,0.295,0.8,False
2025-07-11,Rate Changes,Reuters Energy,Tri-State Proposes 4.2% Wholesale Rate Increase for 2026,-0.314,0.76,False
2025-07-12,Member Relations,Public Comment - FERC,La Plata Electric Explores Partial Requirements Options,-0.079,0.88,False
2025-07-15,Energy Transition,Colorado Sun,"Tri-State joining a regional transmission organization sounds wonky to Coloradans, but it's a big power move",0.115,0.96,True
2025-07-18,Grid Reliability,Public Comment - PUC,Wildfire Risk Drives Enhanced Vegetation Management Program,0.331,0.82,False
2025-07-19,Renewable Energy,Reuters Energy,Tri-State Commissions 200MW Solar Farm in New Mexico,0.108,0.95,False
2025-07-22,Rate Changes,Public Comment - FERC,Cooperative Members Question Rising Wholesale Power Costs,-0.046,0.8,False
2025-07-25,Member Relations,Denver Post,Kit Carson Electric Reports Savings After Partial Exit,-0.508,0.94,False
2025-07-28,Regulatory Compliance,E&E News,New EPA Rules Affect Remaining Coal Fleet Operations,0.291,0.98,False
2025-07-28,Member Relations,Casper Star-Tribune,Tri-State Board Approves Revised Member Exit Provisions,-0.186,0.47,False
2025-08-04,Renewable Energy,Social Media,Tri-State Wind Capacity Surpasses 1GW Milestone,0.357,0.57,False
2025-08-07,Energy Transition,Public Comment - PUC,Western Cooperatives Face Challenges in Energy Transition Timeline,0.232,0.93,False
2025-08-08,Rate Changes,Colorado Sun,Tri-State Rates Remain Competitive vs Regional Utilities,-0.098,0.46,False
2025-08-09,Community Impact,Albuquerque Journal,Tri-State Foundation Supports Workforce Development Programs,-0.012,0.96,False
2025-08-11,Energy Transition,Utility Dive,Clean Energy Shift Creates Job Transition Questions for Tri-State Workers,0.199,0.81,False
2025-08-12,Coal Retirement,Colorado Sun,Tri-State Plans Managed Coal Plant Transition Through 2030,-0.434,0.7,False
2025-08-23,Regulatory Compliance,Public Comment - PUC,FERC Order Impacts Cooperative Wholesale Market Participation,-0.273,0.89,False
2025-08-23,Member Relations,Denver Post,Member Cooperatives Push for More Local Generation Rights,0.093,0.63,False
2025-08-27,Energy Transition,Public Comment - FERC,Tri-State's Responsible Energy Plan Draws Mixed Reactions from Members,-0.119,0.41,False
2025-08-27,Rate Changes,Denver Post,Tri-State Proposes 4.2% Wholesale Rate Increase for 2026,0.257,0.67,False
2025-08-31,Energy Transition,Utility Dive,Energy Transition Costs Raise Concerns Among Rural Cooperatives,0.698,0.92,False
2025-09-01,Energy Transition,Utility Dive,Tri-State's Responsible Energy Plan Draws Mixed Reactions from Members,-0.167,0.97,False
2025-09-03,Rate Changes,Public Comment - FERC,FERC Reviews Tri-State Rate Filing Amid Member Concerns,0.043,0.5,False
2025-09-03,Rate Changes,Social Media,Tri-State Proposes 4.2% Wholesale Rate Increase for 2026,-0.515,0.46,False
2025-09-06,Energy Transition,Public Comment - FERC,Western Cooperatives Face Challenges in Energy Transition Timeline,-0.016,0.74,False
2025-09-07,Member Relations,Reuters Energy,Tri-State Introduces New Contract Flexibility Framework,-0.667,0.84,False
2025-09-11,Renewable Energy,Albuquerque Journal,Distributed Solar Growth Creates Grid Management Challenges,0.081,0.43,False
2025-09-13,Member Relations,Reuters Energy,United Power Seeks Greater Flexibility in Tri-State Contract,-0.509,0.54,False
2025-09-14,Grid Reliability,Colorado Sun,Winter Storm Tests Western Grid Reliability,-0.042,0.46,False
2025-09-16,Energy Transition,E&E News,Tri-State Signs 500MW Wind Power Purchase Agreement,0.151,0.98,False
2025-09-19,Rate Changes,Casper Star-Tribune,Wholesale Rate Stability Critical for Rural Communities,-0.342,0.71,False
2025-09-19,Rate Changes,Casper Star-Tribune,Cooperative Members Question Rising Wholesale Power Costs,-0.016,0.65,False
2025-09-19,Renewable Energy,Utility Dive,Tri-State Commissions 200MW Solar Farm in New Mexico,0.754,0.46,False
2025-09-19,Energy Transition,Public Comment - PUC,Tri-State Announces New Solar Project in Eastern Colorado,-0.317,0.58,False
2025-09-21,Member Relations,E&E News,Small Rural Co-ops Express Support for Tri-State Stability,-0.041,0.99,False
2025-09-21,Member Relations,Denver Post,Tri-State Introduces New Contract Flexibility Framework,-0.414,0.58,False
2025-09-22,Rate Changes,Social Media,Tri-State Proposes 4.2% Wholesale Rate Increase for 2026,-0.665,0.9,False
2025-09-23,Member Relations,Reuters Energy,Tri-State Board Approves Revised Member Exit Provisions,-0.001,0.9,False
2025-09-25,Renewable Energy,Colorado Sun,Colorado Cooperative Renewable Portfolio Reaches 40%,0.164,0.67,False
2025-09-29,Rate Changes,Utility Dive,Tri-State Rates Remain Competitive vs Regional Utilities,-0.226,0.99,False
2025-10-01,Grid Reliability,Public Comment - PUC,Tri-State Deploys Advanced Fault Detection Technology,0.186,0.66,False
2025-10-05,Grid Reliability,Reuters Energy,New SCADA Systems Improve Real-time Grid Monitoring,0.443,0.51,False
2025-10-05,Member Relations,Reuters Energy,Small Rural Co-ops Express Support for Tri-State Stability,0.499,0.85,False
2025-10-06,Community Impact,E&E News,Member Communities Benefit from Cooperative Dividend Distribution,0.329,0.84,False
2025-10-06,Rate Changes,Social Media,Wholesale Rate Stability Critical for Rural Communities,-0.269,0.62,False
2025-10-09,Rate Changes,Utility Dive,Tri-State Proposes 4.2% Wholesale Rate Increase for 2026,-0.506,0.9,False
2025-10-09,Regulatory Compliance,Denver Post,Tri-State Enhances Cybersecurity Program for Grid Protection,0.1,0.95,False
2025-10-10,Renewable Energy,Denver Post,Colorado Cooperative Renewable Portfolio Reaches 40%,0.123,0.5,False
2025-10-11,Community Impact,Casper Star-Tribune,Tri-State Awards $2M in Community Development Grants,0.268,0.52,False
2025-10-11,Community Impact,Public Comment - FERC,Rural Broadband Initiative Leverages Cooperative Infrastructure,1.0,0.88,False
2025-10-12,Grid Reliability,Casper Star-Tribune,Tri-State Invests $150M in Transmission Upgrades,0.343,0.6,False
2025-10-12,Community Impact,Casper Star-Tribune,Cooperative Model Delivers Value to Rural Western Communities,0.775,0.51,False
2025-10-13,Rate Changes,Colorado Sun,Wholesale Rate Stability Critical for Rural Communities,-0.042,0.71,False
2025-10-15,Regulatory Compliance,Denver Post,Tri-State Passes NERC CIP Compliance Audit,0.209,0.56,False
2025-10-16,Member Relations,Reuters Energy,Tri-State Introduces New Contract Flexibility Framework,-0.339,0.76,False
2025-10-16,Regulatory Compliance,E&E News,FERC Order Impacts Cooperative Wholesale Market Participation,0.172,0.77,False
2025-10-18,Member Relations,Public Comment - FERC,Member Cooperatives Push for More Local Generation Rights,-0.426,0.68,False
2025-10-18,Renewable Energy,Social Media,Tri-State Wind Capacity Surpasses 1GW Milestone,0.502,0.82,False
2025-10-20,Energy Transition,E&E News,Tri-State's Responsible Energy Plan Draws Mixed Reactions from Members,0.216,0.92,False
2025-10-22,Coal Retirement,Reuters Energy,Coal Retirement Costs Create Long-term Financial Obligations,0.392,0.43,False
2025-10-22,Rate Changes,E&E News,Tri-State Proposes 4.2% Wholesale Rate Increase for 2026,-0.525,0.52,False
2025-10-22,Community Impact,Public Comment - FERC,Tri-State Foundation Supports Workforce Development Programs,0.035,0.43,False
2025-10-26,Rate Changes,Reuters Energy,FERC Reviews Tri-State Rate Filing Amid Member Concerns,-0.461,0.73,False
2025-10-27,Renewable Energy,Reuters Energy,Distributed Solar Growth Creates Grid Management Challenges,0.348,1.0,False
2025-10-30,Rate Changes,E&E News,Wholesale Rate Stability Critical for Rural Communities,-0.049,0.99,False
2025-10-31,Grid Reliability,Casper Star-Tribune,Tri-State Invests $150M in Transmission Upgrades,0.002,0.82,False
2025-11-02,Renewable Energy,Public Comment - PUC,Tri-State Wind Capacity Surpasses 1GW Milestone,0.146,0.62,False
2025-11-03,Member Relations,Denver Post,Kit Carson Electric Reports Savings After Partial Exit,-0.347,0.41,False
2025-11-03,Rate Changes,Public Comment - PUC,Wholesale Rate Stability Critical for Rural Communities,-0.305,0.76,False
2025-11-03,Rate Changes,Colorado Sun,Rate Restructuring Could Benefit Smaller Member Systems,-0.106,0.47,False
2025-11-06,Energy Transition,Reuters Energy,Tri-State's Responsible Energy Plan Draws Mixed Reactions from Members,0.038,0.92,False
2025-11-06,Rate Changes,Social Media,Tri-State Rates Remain Competitive vs Regional Utilities,-0.434,0.75,False
2025-11-12,Grid Reliability,Utility Dive,Tri-State Grid Performance Exceeds NERC Standards,0.266,0.86,False
2025-11-12,Regulatory Compliance,Denver Post,FERC Order Impacts Cooperative Wholesale Market Participation,-0.164,0.84,False
2025-11-12,Grid Reliability,Casper Star-Tribune,Winter Storm Tests Western Grid Reliability,0.068,0.92,False
2025-11-14,Energy Transition,Public Comment - PUC,Energy Transition Costs Raise Concerns Among Rural Cooperatives,0.159,0.42,False
2025-11-15,Coal Retirement,Reuters Energy,Workforce Transition Programs Launched for Affected Communities,-0.038,0.54,False
2025-11-15,Member Relations,Reuters Energy,Tri-State Board Approves Revised Member Exit Provisions,0.064,0.8,False
2025-11-17,Member Relations,Colorado Sun,United Power seeks 'hyperlocal' energy for Colorado customers after dumping longtime supplier,-0.359,0.97,True
2025-11-19,Renewable Energy,Public Comment - PUC,Tri-State Wind Capacity Surpasses 1GW Milestone,0.329,0.76,False
2025-11-19,Energy Transition,Public Comment - FERC,Tri-State Signs 500MW Wind Power Purchase Agreement,-0.29,0.91,False
2025-11-20,Renewable Energy,Albuquerque Journal,Distributed Solar Growth Creates Grid Management Challenges,0.439,0.77,False
2025-11-21,Grid Reliability,Casper Star-Tribune,Tri-State Invests $150M in Transmission Upgrades,-0.059,0.98,False
2025-11-21,Regulatory Compliance,Colorado Sun,Tri-State Enhances Cybersecurity Program for Grid Protection,0.834,0.9,False
2025-11-21,Energy Transition,Reuters Energy,Tri-State Accelerates Clean Energy Goals Ahead of 2030 Target,0.173,0.94,False
2025-11-28,Renewable Energy,Albuquerque Journal,Distributed Solar Growth Creates Grid Management Challenges,0.37,0.69,False
2025-11-29,Coal Retirement,Colorado Sun,Tri-State Plans Managed Coal Plant Transition Through 2030,0.075,0.92,False
2025-11-29,Renewable Energy,Colorado Sun,Tri-State Wind Capacity Surpasses 1GW Milestone,0.464,0.43,False
2025-11-30,Regulatory Compliance,E&E News,Tri-State Passes NERC CIP Compliance Audit,-0.436,0.59,False
2025-12-01,Regulatory Compliance,Colorado Sun,New EPA Rules Affect Remaining Coal Fleet Operations,0.61,0.79,False
2025-12-02,Renewable Energy,Colorado Sun,Tri-State Wind Capacity Surpasses 1GW Milestone,0.387,0.44,False
2025-12-03,Renewable Energy,Reuters Energy,New Pumped Hydro Study Shows Promise for Tri-State Territory,0.342,0.69,False
2025-12-04,Renewable Energy,Albuquerque Journal,Distributed Solar Growth Creates Grid Management Challenges,0.171,0.45,False
2025-12-08,Regulatory Compliance,Colorado Sun,Colorado Clean Energy Standards Tighten for Wholesale Providers,-0.293,0.68,False
2025-12-14,Grid Reliability,Denver Post,Wildfire Risk Drives Enhanced Vegetation Management Program,-0.017,0.97,False
2025-12-17,Member Relations,Denver Post,United Power Seeks Greater Flexibility in Tri-State Contract,-0.236,0.85,False
2025-12-18,Coal Retirement,Reuters Energy,Craig Station Unit 3 Retirement Timeline Under Discussion,0.074,0.57,False
2025-12-20,Community Impact,Albuquerque Journal,Tri-State Awards $2M in Community Development Grants,0.449,0.51,False
2025-12-21,Renewable Energy,Denver Post,Distributed Solar Growth Creates Grid Management Challenges,0.342,0.85,False
2025-12-22,Rate Changes,Utility Dive,FERC Reviews Tri-State Rate Filing Amid Member Concerns,-0.637,0.94,False
2025-12-24,Renewable Energy,Casper Star-Tribune,New Pumped Hydro Study Shows Promise for Tri-State Territory,0.819,0.96,False
2025-12-26,Regulatory Compliance,Denver Post,New EPA Rules Affect Remaining Coal Fleet Operations,-0.078,0.99,False
2025-12-26,Coal Retirement,Denver Post,Coal Retirement Costs Create Long-term Financial Obligations,0.203,0.46,False
2025-12-27,Renewable Energy,Public Comment - FERC,New Pumped Hydro Study Shows Promise for Tri-State Territory,0.393,0.63,False
2025-12-27,Energy Transition,Public Comment - PUC,Western Cooperatives Face Challenges in Energy Transition Timeline,0.361,0.99,False
2025-12-29,Member Relations,Casper Star-Tribune,United Power Seeks Greater Flexibility in Tri-State Contract,-0.764,0.43,False
2025-12-30,Member Relations,Denver Post,Tri-State Introduces New Contract Flexibility Framework,-0.123,0.98,False
2025-12-31,Coal Retirement,CPR News,"Trump administration orders aging Colorado coal plant to stay open, one day before closing",0.187,0.71,True
2026-01-01,Rate Changes,Albuquerque Journal,Cooperative Members Question Rising Wholesale Power Costs,-0.165,0.59,False
2026-01-01,Rate Changes,Albuquerque Journal,Tri-State Rates Remain Competitive vs Regional Utilities,-0.319,0.42,False
2026-01-03,Grid Reliability,Denver Post,Wildfire Risk Drives Enhanced Vegetation Management Program,0.622,0.53,False
2026-01-05,Regulatory Compliance,Casper Star-Tribune,FERC Order Impacts Cooperative Wholesale Market Participation,-0.575,0.73,False
2026-01-06,Regulatory Compliance,Reuters Energy,Colorado Clean Energy Standards Tighten for Wholesale Providers,0.327,0.47,False
2026-01-07,Member Relations,Utility Dive,Tri-State Board Approves Revised Member Exit Provisions,-0.546,0.96,False
2026-01-08,Energy Transition,Albuquerque Journal,Energy Transition Costs Raise Concerns Among Rural Cooperatives,0.416,0.86,False
2026-01-08,Energy Transition,Casper Star-Tribune,Tri-State Accelerates Clean Energy Goals Ahead of 2030 Target,-0.083,0.55,False
2026-01-08,Member Relations,Public Comment - PUC,Member Cooperatives Push for More Local Generation Rights,-0.289,0.6,False
2026-01-09,Renewable Energy,Public Comment - PUC,Tri-State Wind Capacity Surpasses 1GW Milestone,0.382,0.56,False
2026-01-12,Energy Transition,Public Comment - PUC,Tri-State Accelerates Clean Energy Goals Ahead of 2030 Target,0.412,0.41,False
2026-01-13,Renewable Energy,Colorado Sun,Distributed Solar Growth Creates Grid Management Challenges,0.338,0.56,False
2026-01-15,Regulatory Compliance,EDF,Groups Take Trump Administration to Court Over Illegal Craig Coal Plant Extension,0.08,0.93,True
2026-01-15,Coal Retirement,RTO Insider,Colo. Officials Push Back on Craig Coal Plant Extension,0.065,0.99,True
2026-01-18,Coal Retirement,Public Comment - FERC,Community Impact Plans Announced for Craig Station Workers,-0.145,0.49,False
2026-01-19,Community Impact,E&E News,Tri-State Foundation Supports Workforce Development Programs,0.313,0.68,False
2026-01-20,Renewable Energy,Casper Star-Tribune,Tri-State Commissions 200MW Solar Farm in New Mexico,0.004,0.54,False
2026-01-20,Energy Transition,Social Media,Tri-State's Responsible Energy Plan Draws Mixed Reactions from Members,0.569,0.77,False
2026-01-20,Rate Changes,Colorado Newsline,"Trump's 'emergency' Colorado coal plant order will raise electricity costs, operator says",-0.139,0.73,True
2026-01-20,Member Relations,Casper Star-Tribune,Member Cooperatives Push for More Local Generation Rights,-0.48,0.43,False
2026-01-26,Energy Transition,Casper Star-Tribune,Tri-State Signs 500MW Wind Power Purchase Agreement,0.004,0.68,False
2026-01-26,Renewable Energy,Social Media,Colorado Cooperative Renewable Portfolio Reaches 40%,0.544,0.43,False
2026-01-29,Coal Retirement,Colorado Sun,Colorado AG asks Trump administration to let Craig's coal plant close as planned,-0.12,0.75,True
2026-01-30,Renewable Energy,Casper Star-Tribune,Tri-State Wind Capacity Surpasses 1GW Milestone,0.017,0.57,False
2026-01-30,Coal Retirement,Colorado Sun,Tri-State says no thanks to federal orders to keep Craig coal power plant open,0.031,0.76,True
2026-01-30,Regulatory Compliance,CPR News,Colorado power providers challenge Trump order blocking coal plant closure,0.086,0.83,True
2026-02-01,Energy Transition,Public Comment - FERC,Tri-State Accelerates Clean Energy Goals Ahead of 2030 Target,-0.524,0.95,False
2026-02-02,Coal Retirement,Casper Star-Tribune,Tri-State Plans Managed Coal Plant Transition Through 2030,-0.438,0.79,False
2026-02-02,Renewable Energy,Albuquerque Journal,Tri-State Commissions 200MW Solar Farm in New Mexico,0.274,0.54,False
2026-02-04,Coal Retirement,RTO Insider,Fight Heats up over Colorado's Craig Coal Plant Extension,-0.337,0.79,True
2026-02-08,Coal Retirement,Public Comment - PUC,Tri-State Plans Managed Coal Plant Transition Through 2030,-0.274,0.62,False
2026-02-09,Coal Retirement,Colorado Sun,Environmental Groups Praise Accelerated Coal Phase-out,-0.042,0.58,False
2026-02-10,Energy Transition,Utility Dive,Western Cooperatives Face Challenges in Energy Transition Timeline,0.031,0.63,False
2026-02-11,Renewable Energy,Reuters Energy,Tri-State Commissions 200MW Solar Farm in New Mexico,0.194,0.71,False
2026-02-13,Renewable Energy,Casper Star-Tribune,Colorado Cooperative Renewable Portfolio Reaches 40%,0.138,0.57,False
2026-02-14,Renewable Energy,Casper Star-Tribune,Battery Storage Integration Advances at Tri-State Facilities,0.131,0.79,False
2026-02-14,Rate Changes,Social Media,FERC Reviews Tri-State Rate Filing Amid Member Concerns,-0.406,0.6,False
2026-02-16,Member Relations,Colorado Sun,Tri-State Board Approves Revised Member Exit Provisions,-0.591,0.77,False
2026-02-16,Member Relations,Colorado Sun,Member Cooperatives Push for More Local Generation Rights,0.106,0.55,False
2026-02-17,Rate Changes,Public Comment - PUC,FERC Reviews Tri-State Rate Filing Amid Member Concerns,-0.047,0.89,False
2026-02-17,Member Relations,Albuquerque Journal,United Power Seeks Greater Flexibility in Tri-State Contract,-0.256,0.83,False
2026-02-21,Member Relations,Utility Dive,Tri-State Introduces New Contract Flexibility Framework,-0.102,0.46,False
2026-02-22,Regulatory Compliance,RTO Insider,Colorado Bill Addresses Impacts of Coal Plant Extensions,-0.102,0.79,True
2026-02-23,Coal Retirement,NPR,Colorado coal plant objects to Trump order to stay open,-0.003,0.81,True
2026-02-25,Grid Reliability,Utility Dive,Tri-State Grid Performance Exceeds NERC Standards,0.517,0.55,False
2026-02-26,Grid Reliability,Casper Star-Tribune,New SCADA Systems Improve Real-time Grid Monitoring,0.047,0.54,False
2026-03-01,Grid Reliability,Colorado Sun,Tri-State Grid Performance Exceeds NERC Standards,0.278,0.57,False
